"","x"
"467","Demersal_E_Fish9_ResN"
"468","Demersal_E_Fish10_ResN"
"469","Demersal_F_Fish1_ResN"
"470","Demersal_F_Fish2_ResN"
"471","Demersal_F_Fish3_ResN"
"472","Demersal_F_Fish4_ResN"
"473","Demersal_F_Fish5_ResN"
"474","Demersal_F_Fish6_ResN"
"475","Demersal_F_Fish7_ResN"
"476","Demersal_F_Fish8_ResN"
"477","Demersal_F_Fish9_ResN"
"478","Demersal_F_Fish10_ResN"
"479","Shark_B1_ResN"
"480","Shark_B2_ResN"
"481","Shark_B3_ResN"
"482","Shark_B4_ResN"
"483","Shark_B5_ResN"
"484","Shark_B6_ResN"
"485","Shark_B7_ResN"
"486","Shark_B8_ResN"
"487","Shark_B9_ResN"
"488","Shark_B10_ResN"
"489","Shark_D1_ResN"
"490","Shark_D2_ResN"
"491","Shark_D3_ResN"
"492","Shark_D4_ResN"
"493","Shark_D5_ResN"
"494","Shark_D6_ResN"
"495","Shark_D7_ResN"
"496","Shark_D8_ResN"
"497","Shark_D9_ResN"
"498","Shark_D10_ResN"
"499","Shark_P1_ResN"
"500","Shark_P2_ResN"
"501","Shark_P3_ResN"
"502","Shark_P4_ResN"
"503","Shark_P5_ResN"
"504","Shark_P6_ResN"
"505","Shark_P7_ResN"
"506","Shark_P8_ResN"
"507","Shark_P9_ResN"
"508","Shark_P10_ResN"
"509","SkateRay1_ResN"
"510","SkateRay2_ResN"
"511","SkateRay3_ResN"
"512","SkateRay4_ResN"
"513","SkateRay5_ResN"
"514","SkateRay6_ResN"
"515","SkateRay7_ResN"
"516","SkateRay8_ResN"
"517","SkateRay9_ResN"
"518","SkateRay10_ResN"
"519","Seabird1_ResN"
"520","Seabird2_ResN"
"521","Seabird3_ResN"
"522","Seabird4_ResN"
"523","Seabird5_ResN"
"524","Seabird6_ResN"
"525","Seabird7_ResN"
"526","Seabird8_ResN"
"527","Seabird9_ResN"
"528","Seabird10_ResN"
"529","Reptile1_ResN"
"530","Reptile2_ResN"
"531","Reptile3_ResN"
"532","Reptile4_ResN"
"533","Reptile5_ResN"
"534","Reptile6_ResN"
"535","Reptile7_ResN"
"536","Reptile8_ResN"
"537","Reptile9_ResN"
"538","Reptile10_ResN"
"539","Pinniped1_ResN"
